"time","wPP4ACurrentSource.elecMeasurements.PPu","wPP4ACurrentSource.elecMeasurements.QPu","wPP4ACurrentSource.elecMeasurements.UPu"
0,0.9922552751126879,-0.2186334733854375,0.9979469798858295
1.15828619128985e-11,0.9922552885150711,-0.2186334704128692,0.9979469798861886
1.15828619128985e-11,0.9922552751104605,-0.2186334733847035,0.9979469798861886
0.0001,0.9922554522376122,-0.2186334705399422,0.9979469703022134
0.0001,0.9922554656422247,-0.2186334675681068,0.9979469703022134
0.0002,0.9922559384898957,-0.2186334828407591,0.9979469381147748
0.0003,0.992256738863042,-0.2186335104580644,0.9979468828326603
0.0003548623657644815,0.9922573086593081,-0.2186335338969956,0.9979468422968792
0.0003548623657644815,0.9922573220639418,-0.2186335309251481,0.9979468422968792
0.0004,0.992257845941191,-0.2186335581661821,0.9979468033972569
0.0005,0.9922592517819108,-0.2186336306418587,0.9979466988110874
0.0005999999999999999,0.9922609491043569,-0.2186337317466439,0.9979465682926337
0.0007,0.9922629309646946,-0.2186338647844772,0.9979464112148224
0.0008,0.992265190576751,-0.2186340326388562,0.9979462270726527
0.0009,0.9922677206156183,-0.2186342380003803,0.9979460154527388
0.001,0.9922705153357506,-0.2186344826857064,0.9979457761225005
0.0011,0.9922735684523594,-0.2186347683981627,0.9979455089161596
0.0012,0.9922768743930442,-0.2186350964180736,0.9979452137584753
0.0013,0.9922804274524555,-0.2186354678335898,0.9979448906419475
0.001354862365764486,0.9922824797001685,-0.2186356903464051,0.9979447015162235
0.001354862365764486,0.9922824931050986,-0.218635687374366,0.9979447015162313
0.0014,0.9922842226871517,-0.218635883407506,0.9979445396162364
0.0014,0.9922842360920893,-0.2186358804354827,0.9979445396162364
0.0015,0.9922882545283722,-0.218636343823541,0.9979441607921334
0.0016,0.9922925166813867,-0.2186368495571128,0.9979437543877836
0.0017,0.9922970045386255,-0.2186374007437069,0.9979433206291083
0.0018,0.9923017124038551,-0.2186379973553302,0.9979428598565339
0.0019,0.9923066354112217,-0.2186386392017642,0.9979423724127245
0.002,0.992311769566784,-0.2186393259964988,0.9979418586195681
0.0021,0.9923171099090613,-0.2186400572885201,0.9979413189067226
0.0022,0.9923226521651101,-0.2186408325661228,0.9979407536826486
0.0023,0.9923283919385584,-0.2186416512012319,0.9979401633993349
0.0024,0.9923343249401589,-0.218642512479463,0.9979395485294722
0.0025,0.992340446967544,-0.218643415607178,0.9979389095654311
0.0026,0.9923467539093477,-0.2186443597212293,0.9979382470159792
0.0027,0.9923532417425769,-0.2186453438974112,0.9979375614037983
0.0028,0.9923599055918122,-0.2186463668940619,0.9979368534004042
0.0029,0.9923667406950994,-0.2186474274216978,0.9979361236856361
0.003,0.9923737449781761,-0.2186485248417647,0.9979353725793533
0.0031,0.9923809144067289,-0.2186496579596151,0.9979346006893549
0.0032,0.9923882467981374,-0.2186508260633111,0.9979338083647336
0.0033,0.9923957366804714,-0.2186520274478661,0.9979329964564906
0.0034,0.9924033825444,-0.2186532615489618,0.9979321652283668
0.0035,0.9924111791140726,-0.2186545266058843,0.9979313155373467
0.0036,0.9924191248407785,-0.2186558220155772,0.9979304476615716
0.0037,0.9924272147257771,-0.2186571460078052,0.9979295624448582
0.0038,0.9924354471626331,-0.2186584979379455,0.9979286601817043
0.0039,0.9924438174438326,-0.21865987605367,0.9979277416933714
0.004,0.9924523239025904,-0.2186612796698358,0.9979268072905433
0.0041,0.9924609621157482,-0.2186627070707833,0.997925857766469
0.0042,0.9924697303584714,-0.2186641575331543,0.9979248934471665
0.0043,0.9924786244792331,-0.2186656293915151,0.9979239150943822
0.004335744267436601,0.9924818346765166,-0.218666160895246,0.9979235618893743
0.004335744267436601,0.9924818480836325,-0.2186661579219248,0.9979235618893743
0.0044,0.9924876543747899,-0.2186671245065433,0.9979229215493897
0.0045,0.9924968127721179,-0.2186686400588048,0.9979219141163528
0.0046,0.9925060732907862,-0.2186701711152574,0.997920895873958
0.0047,0.992515446846566,-0.2186717186397479,0.9979198658841572
0.0048,0.9925249326982618,-0.2186732816459099,0.9979188244977907
0.0049,0.9925345248130035,-0.2186748577341417,0.9979177728156993
0.005,0.9925442240864076,-0.2186764472584806,0.9979167106746786
0.0051,0.9925540280830665,-0.2186780491293039,0.997915638556662
0.0052,0.992563932874012,-0.2186796615902172,0.9979145572389462
0.0053,0.9925739405907669,-0.2186812855922336,0.9979134662998103
0.0054,0.9925840410405731,-0.2186829166394564,0.9979123677374985
0.0055,0.9925942384478883,-0.2186845565923151,0.997911260724214
0.0056,0.9926045274235326,-0.2186862030554744,0.9979101463220295
0.0057,0.9926149062354805,-0.2186878552578175,0.9979090248724563
0.0058,0.9926253745555045,-0.2186895130470628,0.9979078964418552
0.0059,0.9926359260383939,-0.2186911735899816,0.9979067622848882
0.006,0.9926465638114493,-0.2186928382801842,0.9979056217835568
0.0061,0.992657279954131,-0.2186945035732127,0.9979044765065874
0.0062,0.992668076806691,-0.2186961705140782,0.9979033259907816
0.0063,0.9926789506898415,-0.2186978374548063,0.9979021709651748
0.0064,0.9926898986078854,-0.2186995030534591,0.9979010120233647
0.0065,0.992700921488992,-0.2187011677244134,0.9978998489815033
0.0066,0.9927120126989425,-0.2187028285019995,0.9978986831526221
0.0067,0.9927231752597373,-0.2187044867349226,0.9978975139389191
0.0068,0.9927344031101611,-0.2187061397215708,0.9978963425375624
0.0069,0.9927456968109786,-0.218707787710375,0.9978951688380064
0.007,0.9927570544062941,-0.2187094298341441,0.9978939932249855
0.0071,0.9927684721092884,-0.2187110644119936,0.9978928164442242
0.0072,0.9927799516712081,-0.2187126922205021,0.9978916381507758
0.0073,0.9927914864527715,-0.2187143103301516,0.9978904596468263
0.0074,0.9928030792853053,-0.2187159199885602,0.9978892803772995
0.0075,0.9928147256364587,-0.2187175192089899,0.9978881012270117
0.0076,0.9928264247395064,-0.2187191076545016,0.9978869223457704
0.0077,0.9928381759361319,-0.2187206850419688,0.9978857438602533
0.0078,0.9928499749578557,-0.2187222495149592,0.997884566599236
0.007900000000000001,0.9928618240043076,-0.2187238020286829,0.9978833901358506
0.008,0.9928737168732615,-0.2187253399097238,0.9978822156669355
0.0081,0.9928856558994812,-0.2187268641632927,0.9978810427421319
0.008200000000000001,0.9928976378635668,-0.2187283734150791,0.9978798719784615
0.0083,0.9929096610454663,-0.2187298669303396,0.9978787037056934
0.008399999999999999,0.9929217257371019,-0.2187313448378706,0.9978775378664499
0.008500000000000001,0.9929338274276245,-0.2187328052323322,0.9978763753190442
0.0086,0.9929459682452701,-0.2187342490117229,0.9978752156586747
0.008699999999999999,0.9929581434434476,-0.2187356741940603,0.9978740597813842
0.008800000000000001,0.9929703539454164,-0.2187370811642131,0.9978729075129937
0.0089,0.992982597889289,-0.2187384691563809,0.997871759201313
0.008999999999999999,0.9929948729022474,-0.2187398371917703,0.9978706152905218
0.0091,0.9930071799475862,-0.2187411856699667,0.9978694755995187
0.0092,0.9930195144573829,-0.21874251273188,0.9978683409756154
0.009299999999999999,0.9930318784389743,-0.2187438191939497,0.9978672110465669
0.0094,0.9930442683222241,-0.2187451036234877,0.9978660864682727
0.0095,0.9930566839766238,-0.2187463659678739,0.9978649672647638
0.009599999999999999,0.9930691245661605,-0.2187476059008319,0.9978638535867411
0.0097,0.9930815873049026,-0.2187488223211214,0.9978627459408309
0.0098,0.9930940736051856,-0.218750015787354,0.9978616440700745
0.009900000000000001,0.9931065789830272,-0.2187511845553667,0.9978605487810907
0.01,0.9931191052908473,-0.2187523293455453,0.997859459740702
0.0101,0.9931316499022406,-0.2187534491535016,0.9978583774160089
0.0102,0.9931442119235292,-0.2187545436374843,0.997857301965964
0.0103,0.9931567912752635,-0.218755612773793,0.997856233402629
0.0104,0.9931693849474763,-0.2187566554321388,0.9978551722548646
0.0105,0.9931819944165485,-0.2187576721669774,0.9978541182632928
0.0106,0.9931946160155792,-0.2187586616276165,0.997853072064006
0.0107,0.9932072507919565,-0.2187596241999925,0.9978520334753257
0.0108,0.9932198970789207,-0.2187605592842558,0.9978510027820146
0.0109,0.9932325534540717,-0.218761466367245,0.9978499802274947
0.011,0.9932452203773076,-0.2187623456192196,0.9978489657317776
0.0111,0.9932578947616543,-0.2187631959503809,0.9978479598156466
0.0112,0.9932705780078143,-0.2187640178555528,0.997846962242787
0.0113,0.9932832673500545,-0.2187648103808818,0.9978459734727716
0.0114,0.9932959630097519,-0.2187655736030335,0.9978449934687971
0.0115,0.9933086641224083,-0.2187663072349796,0.9978440223710983
0.0116,0.9933213689243239,-0.2187670106835898,0.9978430604680628
0.0117,0.9933340782411187,-0.2187676842287182,0.9978421076241276
0.0118,0.9933467890209576,-0.2187683268708144,0.9978411643298983
0.0119,0.9933595025608756,-0.2187689390352446,0.9978402303768239
0.012,0.9933722168174188,-0.2187695200717426,0.9978393060875083
0.0121,0.9933849314114573,-0.2187700698600343,0.9978383915217732
0.0122,0.9933976460718892,-0.2187705883222311,0.9978374867198907
0.0123,0.9934103588417879,-0.2187710748545576,0.9978365919849083
0.0124,0.9934230707240493,-0.2187715297671683,0.9978357071614534
0.0125,0.9934357789390487,-0.2187719522302572,0.9978348326712617
0.0126,0.9934484845084605,-0.2187723425495403,0.9978339683592543
0.0127,0.9934611860133178,-0.2187727003171444,0.9978331144358715
0.0128,0.9934738826560715,-0.218773025303786,0.9978322710194614
0.0129,0.9934865745904307,-0.2187733175596184,0.9978314380854975
0.013,0.9934992597814906,-0.2187735765211618,0.9978306159290377
0.0131,0.9935119391852191,-0.2187738024540035,0.9978298044113807
0.0132,0.993524610705933,-0.2187739948019446,0.9978290038288717
0.0133,0.9935372747279673,-0.2187741536677325,0.9978282141270869
0.0134,0.9935499304505817,-0.2187742788515372,0.9978274354153792
0.0135,0.9935625768033892,-0.2187743700825189,0.9978266678410475
0.0136,0.9935752142301575,-0.2187744274766961,0.9978259113420503
0.0137,0.9935878407059794,-0.2187744505466939,0.9978251661891232
0.0138,0.9936004571174637,-0.2187744395068884,0.9978244322636196
0.0139,0.9936130619155188,-0.218774394005102,0.9978237097662388
0.014,0.9936256550213109,-0.2187743140240874,0.9978229987071207
0.0141,0.9936382360910919,-0.2187741994955932,0.9978222991278229
0.0142,0.9936508038966178,-0.21877405015763,0.9978216111821284
0.0143,0.9936633590652909,-0.2187738661456277,0.9978209347912035
0.0144,0.9936758996476255,-0.2187736470717841,0.9978202701902993
0.0145,0.9936884264463572,-0.2187733930968334,0.9978196172824293
0.0146,0.9937009383446439,-0.2187731040160672,0.9978189761969799
0.0147,0.9937134349409986,-0.2187727797563936,0.9978183469804068
0.0148,0.9937259162186602,-0.2187724203220921,0.9978177296325047
0.0149,0.993738380880955,-0.2187720254963478,0.9978171242969627
0.015,0.9937508295608497,-0.2187715953861494,0.9978165309035074
0.0151,0.9937632607169804,-0.2187711297598616,0.9978159496147677
0.0152,0.9937756747742368,-0.2187706286823404,0.9978153803857969
0.0153,0.9937880710485765,-0.2187700920652207,0.9978148232843472
0.0154,0.993800448928054,-0.2187695198280196,0.9978142783714958
0.0155,0.9938128086191367,-0.2187689120029963,0.9978137456252486
0.0156,0.9938251488249067,-0.2187682684432911,0.9978132251674701
0.0157,0.9938374701315326,-0.2187675892164467,0.9978127169429427
0.0158,0.9938497714050587,-0.2187668742169099,0.9978122210511017
0.0159,0.9938620527218838,-0.2187661234526591,0.9978117374851435
0.016,0.9938743133847574,-0.218765336890535,0.9978112662963546
0.0161,0.9938865521554069,-0.2187645144596082,0.9978108075794596
0.0162,0.9938987697427839,-0.2187636562017861,0.9978103612800688
0.0163,0.9939109661468281,-0.2187627621178804,0.9978099273980875
0.0164,0.9939231413674801,-0.2187618322086983,0.997809505933422
0.0165,0.993935293704678,-0.2187608664462487,0.9978090969943898
0.0166,0.9939474233960733,-0.2187598648353873,0.9978087005657338
0.0167,0.9939595310192875,-0.2187588273867103,0.9978083166105181
0.0168,0.9939716165742616,-0.2187577541010208,0.9978079451286473
0.0169,0.9939836786584442,-0.218756644999353,0.9978075861957287
0.017,0.9939957159346502,-0.2187555001018292,0.9978072398838357
0.0171,0.9940077297950665,-0.218754319389183,0.9978069061177203
0.0172,0.9940197202396334,-0.2187531028622218,0.9978065848972844
0.0173,0.994031686843018,-0.218751850548811,0.9978062762388493
0.0174,0.9940436274439269,-0.218750562587307,0.9978059802257534
0.0175,0.9940555435571958,-0.218749238882124,0.9978056967994103
0.0176,0.9940674351827656,-0.2187478794340662,0.9978054259597208
0.0177,0.9940793023205771,-0.2187464842439323,0.9978051677065856
0.0178,0.9940911425713879,-0.2187450535983027,0.9978049220909586
0.0179,0.9941029571417286,-0.2187435873542733,0.9978046890870617
0.018,0.9941147462114562,-0.2187420854912135,0.9978044686909655
0.0181,0.9941265097805122,-0.2187405480099165,0.9978042609025699
0.0182,0.9941382463861164,-0.2187389751796097,0.9978040657234749
0.0183,0.9941499559531063,-0.2187373670148832,0.9978038831536646
0.0184,0.9941616391053155,-0.2187357234020348,0.9978037131923125
0.0185,0.9941732958426854,-0.2187340443418498,0.9978035558393175
0.0186,0.9941849254258821,-0.2187323300259943,0.9978034110781904
0.0187,0.9941965268568493,-0.2187305807129499,0.9978032788867037
0.0188,0.9942081010525939,-0.2187287961667087,0.9978031592850857
0.0189,0.9942196480130588,-0.2187269763880448,0.997803052273235
0.019,0.9942311675397363,-0.2187251214463154,0.9978029578412316
0.0191,0.9942426580168552,-0.2187232319007271,0.9978028759090318
0.0192,0.9942541205281803,-0.2187213073774554,0.9978028065301581
0.0193,0.9942655550736546,-0.2187193478772612,0.9978027497045089
0.0194,0.9942769616532225,-0.2187173534008985,0.9978027054319833
0.0195,0.9942883388436839,-0.218715324587447,0.9978026735963154
0.0196,0.9942996872361045,-0.2187132611725272,0.9978026542456528
0.0197,0.9943110070166434,-0.2187111630733616,0.9978026473950947
0.0198,0.9943222981852469,-0.2187090302906883,0.9978026530445403
0.0199,0.9943335599204771,-0.2187068632943289,0.9978026710953924
0.02,0.9943447920355911,-0.2187046621916391,0.9978027015251634
0.0201,0.994355994971915,-0.2187024267312779,0.99780274438668
0.0202,0.9943671687293952,-0.2187001569139665,0.9978027996798423
0.0203,0.9943783129310457,-0.2186978530115635,0.9978028673418927
0.0204,0.9943894268694641,-0.2186955155336109,0.9978029472551486
0.0205,0.9944005111359933,-0.2186931440554047,0.9978030395178172
0.0206,0.994411565730581,-0.2186907385776475,0.997803144129799
0.0207,0.9944225905897273,-0.2186882991582715,0.9978032610768252
0.0208,0.9944335846947138,-0.2186858267168986,0.9978033901313035
0.0209,0.9944445487034642,-0.2186833206606688,0.9978035314400764
0.021,0.9944554826159275,-0.2186807809902641,0.9978036850030454
0.0211,0.9944663864320537,-0.2186782077063602,0.9978038508201126
0.0212,0.9944772594166309,-0.2186756016424136,0.9978040286740111
0.0213,0.9944881018019739,-0.2186729625358734,0.9978042186332842
0.0214,0.9944989137306663,-0.2186702902258275,0.9978044207399687
0.0215,0.9945096952026601,-0.2186675847129303,0.9978046349939673
0.0216,0.9945204458266083,-0.2186648465585627,0.9978048612428909
0.0217,0.9945311654308705,-0.2186620760092635,0.9978050994198593
0.0218,0.9945418542776163,-0.2186592726899138,0.997805349626831
0.0219,0.9945525123667991,-0.218656436601146,0.9978056118637105
0.022,0.9945631395434879,-0.218653568028499,0.9978058860504497
0.0221,0.9945737354033589,-0.2186506677162721,0.9978061719782619
0.0222,0.994584300260135,-0.2186477350878986,0.9978064698090228
0.0223,0.9945948341137705,-0.2186447701439874,0.9978067795426383
0.0224,0.994605336958309,-0.2186417728994544,0.9978071011748892
0.0225,0.9946158082920238,-0.2186387445693223,0.9978074343556108
0.0226,0.9946262484284031,-0.218635684395214,0.9978077793034918
0.0227,0.9946366573674037,-0.2186325923777153,0.9978081360184401
0.0228,0.994647035108983,-0.2186294685174058,0.9978085045003636
0.0229,0.9946573813775567,-0.2186263137295477,0.9978088844795129
0.023,0.9946676962288743,-0.2186231278295023,0.9978092760103975
0.0231,0.994677979736212,-0.2186199105744471,0.997809679164679
0.0232,0.9946882318995287,-0.2186166619649379,0.9978100939422673
0.0233,0.9946984526005187,-0.2186133825803282,0.9978105201691524
0.0234,0.9947086417567168,-0.2186100728245589,0.9978109577240322
0.0235,0.9947187994665014,-0.2186067322164994,0.9978114067515508
0.0236,0.9947289257298328,-0.2186033607566819,0.9978118672516197
0.0237,0.9947390205159543,-0.218599958702538,0.997812339145681
0.0238,0.9947490837110728,-0.2185965270059658,0.9978128221430546
0.0239,0.9947591153982599,-0.2185930649723985,0.9978133164559622
0.024,0.9947691155774778,-0.2185895726023442,0.9978138220843176
0.0241,0.9947790842486898,-0.2185860498963053,0.9978143390280348
0.0242,0.9947890213529768,-0.2185824981683133,0.9978148668800693
0.0243,0.9947989269236718,-0.2185789166744572,0.9978154058709663
0.0244,0.994808800962752,-0.2185753053703191,0.9978159560145534
0.0245,0.9948186434701821,-0.2185716642563775,0.9978165173107467
0.0246,0.9948284544657834,-0.2185679942539177,0.9978170894705972
0.0247,0.9948382339481076,-0.2185642952978284,0.9978176725145946
0.0248,0.9948479819101874,-0.2185605670670688,0.9978182665435136
0.0249,0.9948576983519897,-0.2185568095620939,0.9978188715572729
0.025,0.9948673833179568,-0.2185530233329472,0.9978194873814686
0.0251,0.994877036853444,-0.2185492089409461,0.9978201138381204
0.0252,0.9948866589124018,-0.2185453658178746,0.9978207511075153
0.0253,0.9948962494947979,-0.2185414939641639,0.9978213991895738
0.0254,0.9949058086280855,-0.2185375935848725,0.9978220580186707
0.0255,0.9949153364635825,-0.2185336658072766,0.997822727233785
0.0256,0.9949248328961056,-0.2185297098488792,0.9978234070856122
0.0257,0.994934297925624,-0.2185257257100885,0.9978240975740752
0.0258,0.994943731552108,-0.2185217133913074,0.9978247986990962
0.0259,0.9949531340120379,-0.2185176741882967,0.9978255100420209
0.026,0.9949625051901565,-0.218513607470341,0.9978262318067062
0.0261,0.9949718450663255,-0.218509513127684,0.9978269640286677
0.0262,0.9949811536405164,-0.2185053911607057,0.9978277067078301
0.0263,0.9949904311114801,-0.218501242447632,0.9978284595581998
0.0264,0.9949996774955379,-0.2184970670610308,0.9978292225561872
0.0265,0.9950088927040052,-0.218492864609731,0.997829995829244
0.0266,0.9950180767368555,-0.2184886350940906,0.9978307793772968
0.0267,0.9950272297251125,-0.2184843790062815,0.9978315730389332
0.0268,0.9950363518571512,-0.218480097053702,0.9978323765821357
0.0269,0.99504544296321,-0.2184757885996851,0.9978331902158016
0.027,0.9950545030432639,-0.2184714536445677,0.9978340139398606
0.0271,0.9950635321397839,-0.2184670923288687,0.9978348477079531
0.0272,0.9950725306373186,-0.2184627059215707,0.9978356911011049
0.0273,0.9950814982798145,-0.2184582935783822,0.9978365443981346
0.0274,0.9950904350672485,-0.218453855299618,0.9978374075989732
0.0275,0.9950993409995971,-0.2184493910855888,0.9978382807035527
0.0276,0.9951082164908973,-0.2184449021657473,0.9978391633035192
0.0277,0.9951170613764964,-0.2184403880516807,0.9978400555611419
0.0278,0.99512587559751,-0.218435848568948,0.9978409575343963
0.0279,0.9951346591539162,-0.218431283717839,0.9978418692232166
0.028,0.9951434123419092,-0.2184266943035586,0.9978427903586992
0.0281,0.9951521352397065,-0.2184220805389865,0.9978437208697721
0.0282,0.9951608276812479,-0.2184174419732088,0.9978446609070658
0.0283,0.995169489666514,-0.2184127786064959,0.9978456104705161
0.0284,0.9951781213616023,-0.2184080908577105,0.997846569419544
0.0285,0.9951867230980529,-0.2184033795626024,0.9978475374736281
0.0286,0.9951952946028598,-0.218398644033532,0.9978485148636205
0.0287,0.9952038358760048,-0.2183938842707498,0.9978495015894593
0.0288,0.9952123469478605,-0.218389100346241,0.9978504976268894
0.0289,0.9952208284020128,-0.2183842936378594,0.9978515025112497
0.029,0.995229279863947,-0.2183794632618321,0.997852516540613
0.0291,0.9952377013336471,-0.2183746092183912,0.9978535397149201
0.0292,0.9952460928110957,-0.2183697315077646,0.9978545720341113
0.0293,0.9952544548048935,-0.2183648312639766,0.9978556131140963
0.0294,0.99526278716456,-0.218359908151832,0.9978566630684261
0.0295,0.9952710897848605,-0.2183549619369932,0.9978577219764887
0.0296,0.9952793626657794,-0.2183499926196707,0.9978587898382267
0.0297,0.995287606144976,-0.2183450009156088,0.9978598664102449
0.0298,0.9952958203856036,-0.2183399871707633,0.9978609515749051
0.0299,0.9953040051518929,-0.2183349508857643,0.9978620455020427
0.03,0.9953121604438299,-0.2183298920608051,0.9978631481916024
0.0301,0.9953202864287695,-0.2183248110350396,0.9978642595278219
0.0302,0.9953283835723428,-0.2183197087517046,0.9978653791887312
0.0303,0.9953364515175683,-0.2183145844880271,0.9978665074210613
0.0304,0.9953444902644329,-0.2183094382441835,0.9978676442247589
0.0305,0.9953524998153069,-0.2183042700249804,0.9978687895981841
0.0306,0.9953604809189359,-0.2182990812865175,0.9978699430425461
0.0307,0.9953684331100516,-0.2182938711242875,0.9978711048676949
0.0308,0.9953763563886422,-0.2182886395384511,0.9978722750735791
0.0309,0.9953842507546964,-0.2182833865291654,0.9978734536601481
0.031,0.9953921167539412,-0.2182781131193406,0.9978746402758436
0.0311,0.9953999542885732,-0.2182728191258547,0.9978758349836043
0.0312,0.9954077632053179,-0.2182675042616256,0.9978770378820975
0.0313,0.9954155435041643,-0.218262168526795,0.9978782489712742
0.0314,0.9954232955267409,-0.2182568125406134,0.9978794680376449
0.0315,0.995431019530058,-0.2182514367689831,0.9978806949205886
0.0316,0.9954387152179535,-0.2182460406753535,0.9978819298050797
0.0317,0.9954463825904181,-0.2182406242598527,0.9978831726910713
0.0318,0.9954540217948212,-0.2182351877815935,0.9978844234889684
0.0319,0.9954616334166,-0.2182297322694985,0.9978856818430063
0.032,0.9954692170323446,-0.2182242569796457,0.9978869480103993
0.0321,0.9954767726420466,-0.2182187619121489,0.9978882219911019
0.0322,0.9954843002456982,-0.2182132470671189,0.9978895037850694
0.0323,0.9954918006237434,-0.2182077137778825,0.9978907929300096
0.0324,0.9954992733450453,-0.2182021613080619,0.9978920896812289
0.0325,0.9955067183757694,-0.2181965895999729,0.9978933940587189
0.0326,0.9955141357159085,-0.2181909986537135,0.9978947060624366
0.0327,0.9955215259095146,-0.2181853893747834,0.9978960253775998
0.0328,0.9955288889325709,-0.2181797617233193,0.9978973520180566
0.0329,0.9955362245858024,-0.218174115367794,0.9978986860990428
0.033,0.9955435328692024,-0.2181684503082927,0.9979000276205164
0.0331,0.9955508143472392,-0.2181627674494985,0.997901376266755
0.0332,0.9955580696357116,-0.2181570677783534,0.9979027316933302
0.0333,0.995565298125721,-0.2181513503191524,0.9979040942407258
0.0334,0.9955724998172615,-0.2181456150719705,0.9979054639089022
0.0335,0.995579674710328,-0.21813986203688,0.9979068406978207
0.0336,0.995586822804915,-0.2181340912139499,0.9979082246074416
0.0337,0.9955939441010181,-0.2181283026032464,0.997909615637727
0.0338,0.9956010385986324,-0.2181224962048327,0.9979110137886378
0.0339,0.9956081062977533,-0.2181166720187691,0.9979124190601363
0.034,0.995615148890986,-0.2181108326526211,0.9979138305384077
0.0341,0.9956221652663274,-0.2181049763933851,0.9979152488237437
0.0342,0.995629155244934,-0.2180991029656084,0.9979166740126557
0.0343,0.9956361188268028,-0.2180932123693416,0.9979181061051079
0.0344,0.9956430560119296,-0.2180873046046318,0.9979195451010636
0.0345,0.9956499668003116,-0.2180813796715238,0.9979209910004868
0.0346,0.9956568511919455,-0.2180754375700595,0.9979224438033422
0.0347,0.9956637097562052,-0.2180694791599363,0.9979239032076734
0.0348,0.9956705443473287,-0.2180635072407748,0.9979253682302095
0.0349,0.9956773531984916,-0.2180575191450247,0.9979268398077996
0.035,0.9956841363096922,-0.2180515148727202,0.9979283179404106
0.0351,0.9956908936809267,-0.2180454944238931,0.9979298026280087
0.0352,0.9956976253121941,-0.2180394577985725,0.9979312938705609
0.0353,0.995704331203492,-0.2180334049967844,0.9979327916680338
0.0354,0.9957110113548187,-0.2180273360185528,0.9979342960203954
0.0355,0.9957176670665763,-0.2180212527673465,0.9979358062567882
0.0356,0.995724298572692,-0.2180151555856026,0.9979373222565079
0.0357,0.9957309049194468,-0.218009043077352,0.9979388445115068
0.0358,0.9957374861068397,-0.2180029152426119,0.9979403730217544
0.0359,0.9957440421348696,-0.2179967720813969,0.9979419077872195
0.036,0.9957505730035352,-0.2179906135937192,0.9979434488078719
0.0361,0.9957570787128365,-0.2179844397795885,0.997944996083681
0.0362,0.9957635592627722,-0.2179782506390122,0.9979465496146169
0.0363,0.9957700169110618,-0.2179720493888599,0.9979481082634462
0.0364,0.9957764503042598,-0.2179658341007188,0.9979496727118657
0.0365,0.9957828591452755,-0.217959604351291,0.9979512431094907
0.0366,0.9957892434341088,-0.2179533601405784,0.9979528194562921
0.0367,0.9957956031707595,-0.2179471014685812,0.9979544017522423
0.0368,0.9958019383552283,-0.2179408283352965,0.9979559899973131
0.0369,0.9958082489875151,-0.2179345407407198,0.9979575841914765
0.037,0.9958145355366652,-0.2179282393360642,0.9979591841037917
0.0371,0.9958207998263517,-0.2179219266533079,0.9979607888364262
0.0372,0.9958270401731188,-0.2179156003551444,0.9979623992181315
0.0373,0.995833256576967,-0.2179092604415651,0.997964015248881
0.0374,0.9958394490378969,-0.2179029069125586,0.9979656369286489
0.0375,0.9958456175559094,-0.2178965397681121,0.9979672642574097
0.0376,0.9958517621310059,-0.2178901590082104,0.9979688972351375
0.0377,0.9958578827631875,-0.2178837646328358,0.997970535861807
0.0378,0.9958639807535975,-0.2178773584051634,0.9979721795103729
0.0379,0.9958700564609745,-0.217870940811314,0.9979738280079354
0.038,0.9958761088349164,-0.2178645104278565,0.9979754818606612
0.0381,0.9958821378754247,-0.2178580672547701,0.9979771410685262
0.0382,0.9958881435825009,-0.2178516112920328,0.9979788056315068
0.0383,0.995894125956147,-0.2178451425396201,0.9979804755495795
0.0384,0.9959000849963646,-0.217838660997506,0.9979821508227209
0.0385,0.9959060207031563,-0.2178321666656622,0.9979838314509081
0.0386,0.9959119352643608,-0.217825662442414,0.9979855164005653
0.0387,0.9959178274496029,-0.2178191466977926,0.9979872062529125
0.0388,0.9959236969081976,-0.2178126189671961,0.997988901173595
0.0389,0.995929543640148,-0.2178060792505944,0.9979906011625913
0.039,0.9959353676454559,-0.2177995275479556,0.9979923062198797
0.0391,0.9959411689241237,-0.2177929638592459,0.9979940163454388
0.0392,0.9959469474761542,-0.2177863881844298,0.9979957315392477
0.0393,0.9959527037070968,-0.2177798010494409,0.9979974516132285
0.0394,0.9959584395213666,-0.2177732049241659,0.9979991756842638
0.0395,0.9959641532112509,-0.2177665975937649,0.9980009045442211
0.0396,0.9959698447767518,-0.2177599790582009,0.9980026381930805
0.0397,0.9959755142178727,-0.2177533493174358,0.9980043766308224
0.0398,0.995981161534616,-0.2177467083714293,0.9980061198574272
0.0399,0.9959867867269855,-0.2177400562201398,0.9980078678728754
0.04,0.9959923897949839,-0.2177333928635239,0.9980096206771478
0.0401,0.9959979719493416,-0.2177267198407398,0.9980113777185065
0.0402,0.9960035336510507,-0.217720037737813,0.9980131387868639
0.0403,0.9960090738246442,-0.2177133451874544,0.998014904372286
0.0404,0.9960145924701255,-0.2177066421896204,0.9980166744747551
0.0405,0.9960200895874977,-0.2176999287442659,0.998018449094253
0.0406,0.9960255651767641,-0.2176932048513439,0.9980202282307622
0.0407,0.9960310192379287,-0.2176864705108063,0.998022011884265
0.0408,0.996036451770995,-0.2176797257226033,0.998023800054744
0.0409,0.9960418648338988,-0.2176729730540383,0.9980255918196952
0.041,0.9960472573500998,-0.2176662111620443,0.9980273876616735
0.0411,0.996052628927268,-0.2176594395571232,0.9980291877565295
0.0412,0.996057979565407,-0.2176526582392257,0.9980309921042468
0.0413,0.9960633092645209,-0.217645867208301,0.9980328007048096
